components,val_accuracy,explained_variance
2,0.5007936507936508,0.54981062097075
4,0.5087301587301587,0.7334722282739817
6,0.5706349206349206,0.8329500063724445
8,0.5666666666666667,0.8920846715496464
10,0.6134920634920635,0.9265490290103576
12,0.6428571428571429,0.9508049615572867
16,0.6722222222222223,0.9776766164794146
20,0.6746031746031746,0.9901274828133655
24,0.676984126984127,0.9966856204463979
28,0.6777777777777778,0.9991070767996157
32,0.6841269841269841,0.9998500412101392
36,0.6753968253968254,0.9999814240522605
40,0.669047619047619,1.0
